Title,Discipline1,Discipline2,More
Athenaeum. Polskie Studia Politologiczne (Toruń),Nauki polityczne,,
Atmospheric Research,Meteorologia,,
Atomic Data and Nuclear Data Tables,Fizyka molekularna,Fizyka chemiczna,Fizyka jądrowa
At-Taq?fa al-'a~60lamiyya,,,
Augustinian Studies,Reliogioznawstwa i teologia,Filozofia,Historia i archiwistyka;
Augustiniana,Reliogioznawstwa i teologia,,
Augustinianum periodicum semestre Instituti,Reliogioznawstwa i teologia,,
Aussiger Beiträge germanistische Schriftenreihe aus Forschung und Lehre - to jest artykuł,Literaturoznawstwo,,
Austin Journal of Biotechnology & Bioengineering,Biotechnologia,,
Australasian Journal of Combinatorics,Matematyka,,
Australian Journal of Social Issues,Socjologia,Psychologia,
"Autograf : literatura, sztuka, krytyka  (Gdańsk)",Literaturoznawstwo,,
Autoimmunity,Immunologia,,
Autophagy,Komórka biologiczna,,
Auxilium Sociale Novum,Pedagogika,Psychologia społeczna,Polityka społeczna
Avant. Pismo awangardy filozoficzno-naukowej,Filozofia,Językoznawstwo,Psychologia;Socjologia;
AWE International,Ochrona środowiska,,
Awers: dwumiesięcznik literacko-społeczny,Literaturoznawstwo,,
Axiomathes: quaderni Centro Studi per la Filosofia Mitteleuropea.,Filozofia,,
Badania Fizjograficzne. Seria A. Geografia Fizyczna,Geografia,Geologia,
Badania Fizjograficzne. Seria B. Botanika,Botanika,Biologia,Ekologia
Badania Fizjograficzne. Seria C. Zoologia,Zoologia,,
Badania Fizjograficzne. Seria D. Gospodarka Przestrzenna,Gospodarka i planowanie,,
Balcanica Posnaniensia. Acta et Studia,Historia i archiwistyka,Etnologia,
"Balkanistica (Oxford, Miss.)",Sztuka,Literaturoznawstwo,Językoznawstwo;Filologia
Baltic Astronomy,Astronomia,,
Baltic Journal of Law & Politics,Prawo,Nauki polityczne,Stosunki międzynarodowe
Bank Spółdzielczy,Finanse,,
Bank. Miesięcznik finansowy,Finanse,,
Banka?sk? Vesn?k,,,
"Barok: historia, literatura, sztuka",Literaturoznawstwo,,
Basic and Applied Ecology,Ekologia,,
Basic and Applied Pathology,Medycyna,,
Baszta / Muzeum Historyczno-Etnograficzne w Chojnicach,Historia i archiwistyka,Muzelanictwo,
Bat Research News,Zoologia,,
Bayreuther Mathematische Schriften,Matematyka,,
Behavioral and Brain Sciences,Psychologia,,
Behavioural Brain Research,Psychologia,,
Beilstein Journal of Nanotechnology,Technologia,Nanotechnologia,Fizyka
Beiträge zur Geschichte Westpreussens,Historia i archiwistyka,,
"Belarus' i susedzi: shliakhi farmiravannia dziarzhaunastsi, mizhnatsyianal'nyia i mizhdziarzhaunyia adnosiny ",Stosunki międzynarodowe,,
Belarusk Gastaryčny Aglâd,Historia i archiwistyka,,
Beretning / Geologisk Institut Aarhus Universitet,Geologia,,
Bericht / Institut für Steinkonesrvierung e.V,,,
Berichte der Bunsen-Gesellschaft,Chemia,,
Berichte der Bunsengesellschaft für Physikalische Chemie,Biochemia,,
Berichte und Forschungen : Jahrbuch des Bundesinstituts für ostdeutsche Kultur und Geschichte,Historia i archiwistyka,Nauki polityczne,
Berichte zur Wissenschaftsgeschichte,Historia i archiwistyka,Filozofia,
Bernoulli News - czasopismo online,Statystyka,,
Bernoulli official journal of the Bernoulli,Statystyka i prawdopodobieństwo,,
Berufsbildung in Wissenschaft und Praxis,Kszałcenie zawodowe,,
"BEST: international journal of humanities, arts, medicine and sciences",Multidyscyplinarny,Biotechnologia,Medycyna;Nauki przyrodnicze;Nauki humanistyczne;Biologia;Informatyka
Bezpieczeństwo Pracy. Nauka i Praktyka,BHP,Zdrowie i bezpieczeństwo publiczne,
Bibliofil,Bibliotekoznawstwo i informacja naukowa,,
Bibliotekovedenie: naučno-praktičeskij žurnal ,Bibliotekoznawstwo i informacja naukowa,,
Bibliotheca Baltica : Informationen zum Bibliothekswesen im Ostseeraum,Bibliotekoznawstwo i informacja naukowa,,
Bibliotheca Nostra. Śląski Kwartalnik Naukowy,Bibliotekoznawstwo i informacja naukowa,,
"Bijdragen tot de Taal-, Land- en Volkenkunde",Antropologia kulturowa,Etnologia,
Bildung und Erziehung,Pedagogika,Edukacja,
Bilgi Dünyas,Bibliotekoznawstwo i informacja naukowa,Informatyka,
Bioanalysis,Biochemia,Chemia,
Biocatalysis and Biotransformation,Biochemia,Biologia,Biotechnologia;Mikrobiologia
Biochemical Genetics,Biochemia,Genetyka,Biologia
Biochemical Journal,Biochemia,Biologia,
Biochemie und Physiologie der Pflanzen,Botanika,,
Biochemistry,Biochemia,Biologia,
Biochemistry and Cell Biology,Biochemia,Komórka biologiczna,
Biochimica and Biophysica Acta. Molecular and Cell Biology of Lipids,Biochemia,Biologia,Biofizyka
Biochimica et Biophysica Acta. Proteins and proteomic,Biochemia,Biologia,Biofizyka
BioControl,Botanika,Biologia,
Biocontrol Science and Technology,Biotechnologia,Mikrobiologia,
Biodegradation,Biotechnologia,Mikrobiologia,
Biodiversity and Conservation,Ekologia,Nauki przyrodnicze,
Bioelectrochemistry and Bioenergetics,Biochemia,Biologia,Biofizyka
Biofouling,Biotechnologia,Mikrobiologia,Biologia;Hydrobiologia
Bioinformatics,Biotechnologia,Mikrobiologia,Biologia;Biochemia
Biointerphases,Biofizyka,,
Biologia (Bratislava),Biologia,,
Biologia Plantarum,Botanika,,
Biological Agriculture and Horticulture,Ogrodnictwo i sadownictwo,,
Biological Bulletin of Poznań,Biologia,,
Biological Invasions,Ekologia,,
Biological Journal of the Linnean Society,Biologia,,
Biological Psychiatry,Psychiatria,,
Biological Rhythm Research,Biologia,Psychologia,
Biology and Fertility of Soils,Gleboznawstwo,Ekologia,
Biology of the Cell,Komórka biologiczna,,
Biomacromolecules,Biochemia,Chemia organiczna,Biologia molekularna;Polimery
Biomaterials,Biomateriały,Materiałoznawstwo,Inżynieria biomedyczna
BioMed Research International,Biotechnologia,Mikrobiologia,Medycyna
Biomedical Chromatography,Chemia analityczna,Biologia molekularna,Farmacja;Biochemia
Biomedical Optics Express,Medycyna nuklearna,Radiologia,Optyka;Biochemia
Biomedicine & Pharmacotherapy,Medycyna,Farmacja,
Biophysical Chemistry,Chemia fizyczna,Biologia,Biofizyka;Biochemia
Biophysical Journal,Biofizyka,,
Bio-Protocol,Biologia,,
Bioresource Technology,Inżynieria,Energia i paliwa,Biotechnologia;Mikrobiologia
Biosemiotics,Historia i archiwistyka,Filozofia,
Biotechnologia,Biochemia,Biotechnologia,Chemia;Biofizyka;Biologia
Biotechnology and Bioengineering,Biotechnologia,Mikrobiologia,
Biotechnology Progress,Biotechnologia,Mikrobiologia,Technologia żywności i żywienia
Bird Study,Ornitologia,,
Birkbeck Law Review,Prawo,,
Biuletyn / Biuro Informacji Rady Europy,Prawo,,
Biuletyn / Komisja Konstytucyjna Zgromadzenia Narodowego,Prawo,,
Biuletyn / Muzeum Okręgowe w Toruniu,Historia i archiwistyka,Muzelanictwo,
Biuletyn / Niemiecki Instytut Historyczny w Warszawie,Historia i archiwistyka,,
"Biuletyn / Polskie Towarzystwo Ochrony Przyrody ""Salamandra""",Nauki przyrodnicze,,
Biuletyn / Ruch Ekologiczny św. Franciszka z Asyżu,Ekologia,Reliogioznawstwa i teologia,
Biuletyn / Wojskowy Instytut Chemii i Radiometrii,Wojskowość i policja,,
Biuletyn Centrum Europejskiego Uniwersytetu Warszawskiego,Prawo,Polityka społeczna,Unia Europejska
Biuletyn Entomologiczny,Biologia,Zoologia,
Biuletyn Federacji Konsumentów,Prawo,,
Biuletyn Forum Debaty Publicznej,Prawo,,
"Biuletyn Fundacji ""Archiwum Pomorskie Armii Krajowej""",Historia i archiwistyka,,
Biuletyn Fundacji Archiwum i Muzeum Pomorskie Armii Krajowej oraz Wojskowej Służby Polek.,Historia i archiwistyka,Muzelanictwo,
Biuletyn Fundacji Archiwum Pomorskie Armii Krajowej,Historia i archiwistyka,,
Biuletyn Geograficzny (Toruń),Geografia,,
Biuletyn Głównej Komisji Badania Zbrodni Przeciwko Narodowi Polskiemu Instytutu Pamięci Narodowej,Historia i archiwistyka,,
Biuletyn Historyczny (Lębork),Historia i archiwistyka,,
Biuletyn Informacji Kulturalnej / Wojewódzki Ośrodek Animacji Kultury w Toruniu,Kulturoznawstwo,,
Biuletyn Informacyjny / Instytut Turystyki,Turystyka,,
Biuletyn Informacyjny / Kujawsko-Pomorski Ośrodek Doradztwa Rolniczego,Rolnictwo,Ekologia,
Biuletyn Informacyjny / Polska Akademia Nauk.,Geografia,,
Biuletyn Informacyjny / Polskie Towarzystwo Ekonomiczne,Ekonomia,,
Biuletyn Informacyjny / Regionalna Izba Obrachunkowa w Bydgoszczy,Gospodarka i planowanie,,
Biuletyn Informacyjny / Regionalne Centrum Regionalne Centrum Edukacji Ekologicznej w Przysieku,Ekologia,Ochrona środowiska,
Biuletyn Informacyjny / Światowy Związek Żołnierzy Armii Krajowej,Wojskowość i policja,Historia i archiwistyka,
Biuletyn Informacyjny Centralnego Ośrodka Metodycznego Studiów Nauczycielskich,Pedagogika,Edukacja,
Biuletyn Informacyjny Kujawsko-Pomorskiej Okręgowej Izby Lekarskiej w Toruniu,Medycyna,,
Biuletyn Informacyjny PKN ICOMOS,Historia i archiwistyka,,
Biuletyn Informacyjny Polskiego Towarzystwa Entomologicznego,Biologia,Zoologia,
Biuletyn Instytutu Geografii Społeczno-Ekonomicznej i Gospodarki Przestrzennej Uniwersytetu im. Adama Mickiewicza w Poznaniu,Geografia,,
Biuletyn Instytutu Leków,Farmacja,,
Biuletyn Instytutu Morskiego,Oceanografi,,
Biuletyn Instytutu Pamięci Narodowej,Historia i archiwistyka,,
Biuletyn Integracyjny,Polityka społeczna,Unia Europejska,
Biuletyn Koła Naukowego Prawa Pracy,Prawo,Polityka społeczna,
Biuletyn Komisji do Spraw Ocen Oddziaływania na Środowisko,Ekologia,Ochrona środowiska,
Biuletyn Komisji Kodyfikacyjnej Prawa Karnego,Prawo,,
Biuletyn Komitetu Przestrzennego Zagospodarowania Kraju,Gospodarka i planowanie,,
Biuletyn Międzynarodowy / Instytut Nauk Politycznych i Stosunków Miedzynarodowych UJ,Nauki polityczne,Stosunki międzynarodowe,
Biuletyn Naukowego Koła Podchorążych / Wyższa Szkoła Oficerska Wojsk Rakietowych i Artylerii im. gen. Józefa Bema,Wojskowość i policja,,
Biuletyn Naukowy / Akademia Rolniczo-Techniczna w Olsztynie,Nauki przyrodnicze,Nauki humanistyczne,
Biuletyn Naukowy / Uniwersytet Warmińsko-Mazurski w Olsztynie,Rolnictwo,,
Biuletyn Naukowy Wrocławskiej Wyższej Szkoły Informatyki Stosowanej.Informatyka,Informatyka,,
Biuletyn Oddziału Warmińsko-Mazurskiego Stowarzyszenia Konserwatorów Zabytków,Sztuka,,
Biuletyn Ogólnopolskiego Centrum Doskonalenia Nauczycieli Geografii / Stowarzyszenie Oświatowców Polskich w Toruniu,Geografia,Edukacja,
Biuletyn Olimpiady Filozoficznej,Filozofia,,
Biuletyn Parafii pod wezwaniem Wniebowzięcia,,,
Biuletyn Parafii pw. Wniebowzięcia Najświętszej,,,
Biuletyn Polarny,Geografia,Turystyka,
Biuletyn Polityczny: pismo kwartalne poświęcone działalności stronnictw i związków politycznych w Polsce,Nauki polityczne,,
Biuletyn Polskiego Stowarzyszenia Wodoru i Ogniw,Energetyka,,
Biuletyn Polskiego Towarzystwa Antropologicznego,Antropologia kulturowa,,
Biuletyn Polskiego Towarzystwa Estetycznego,Kulturoznawstwo,,
Biuletyn Polskiego Towarzystwa Historycznego,Historia i archiwistyka,,
Biuletyn Polskiego Towarzystwa Kryminologicznego,Prawo,,
Biuletyn Polskiej Misji Historycznej = Bulletin der Polnischen Historischen Mission,Historia i archiwistyka,,
Biuletyn Prawo Konkurencji Na Co Dzień,Prawo,,
Biuletyn Programowy Narodowego Instytutu Muzealnictwa i Ochrony Zbiorów,Sztuka,,
Biuletyn Przedmiotowy Nauczycieli Geografii i Przyrody,,,
Biuletyn Rachunkowości i Finansów,Finanse,Rachnkowość,
Biuletyn Rady Legislacyjnej przy Prezesie Rady Ministrów,Prawo,,
Biuletyn Regionalnej Dyrekcji Lasów Państwowych w Toruniu,Leśnictwo,,
Biuletyn Rzecznika Praw Obywatelskich. Materiały,Prawo,,
Biuletyn Samorządowy Powiatu Starogardzkiego,Prawo,Polityka społeczna,
Biuletyn Sekcji Hymenopterologicznej Polskiego Towarzystwa Entomologicznego,Biologia,Zoologia,
"Biuletyn Stowarzyszenia ""Wspólnota Polska""",Polityka społeczna,,
Biuletyn Stowarzyszenia Muzeum na Wolnym Powietrzu w Polsce,Sztuka,Muzelanictwo,
Biuletyn Stowarzyszenia Rzeczoznawców Majątkowych,Prawo,Architektura,Ekonomia
Biuletyn Towarzystwa Popierania i Krzewienia Nauk,Nauka,,
Biuletyn Naukowy Wrocławskiej Wyższej Szkoły Informatyki Stosowanej. Turystyka i Rekreacja,Turystyka,,
Biznes-inžineringi,,,
B''lgarski Ezik,Filologia,Językoznawstwo,
Blok : międzynarodowe pismo poświęcone kulturze stalinowskiej i poststalinowskiej,Historia i archiwistyka,,
Blood journal of the American Society of Hematology,Hematologia,,
BMC Bioinformatics,Bioinformatyka,Biomatematyka,Biologia;Mikrobiologia;Bioltechnologia;Biochemia
BMC Cancer,Onkologia,,
BMC Evolutionary Biology,Biologia ewolucyjna,Genetyka,
BMC Family Practice,Medycyna,Zdrowie i bezpieczeństwo publiczne,
BMC Research Notes,Biochemia,,
Bochumer Philosophisches Jahrbuch für Antike und Mittelalter,Filozofia,Reliogioznawstwa i teologia,
Boletim da Faculdade de Direito,Prawo,,
Boletin de la Sociedad Matematica Mexicana. Tercera Seria,Matematyka,,
Bollettino della Unione Matematica Italiana. Sezione B,Matematyka,,
Bollettino Tributario d'Informazioni,Podatki,Prawo,
Boreas international journal of quaternary research,Geografia fizyczna,Nauki o Ziemi,
"Borussia: kultura, literatura, historia",Kulturoznawstwo,Literaturoznawstwo,Historia i archiwistyka;
Botanical Journal of the Linnean Society,Botanika,,
Brain Research Bulletin,Neuronauka,,
Branżowy Magazyn Przemysłowy. Nowe Cukrownictwo,Przemysł,,
Brazilian Archives of Biology and Technology,Biologia,,
Brazilian Journal of Physics,Fizyka,,
Brazilian Journal of Probability and Statistics,Statystyka i prawdopodobieństwo,,
Briefings in Functional Genomics,Biotechnologia,Mikrobiologia,Genetyka
"British Journal of Education, Society & Behavioural Science",Reliogioznawstwa i teologia,Komunikacja społeczna,Nauki polityczne;Socjologia;Kultura fizyczna i sport
British Journal of Ophthalmology,Okulistyka,,
British Journal of Surgery,Chirurgia,,
Bryn Mawr Classical Review,Filologia,,
Budownictwo Okrętowe i Gospodarka Morska,Budownictwo,Gospodarka i planowanie,
Building and Environment,Budownictwo,Inżynieria środowiska,
Buletinul Ştiinţific al Academiei Trupelor de Uscat,Wojskowość i policja,,
Bulgarian Astronomical Journal,Astronomia,,
Bulgarian Chemical Communications,Chemia,,
Bulgarian Journal of Agricultural Science,Rolnictwo,,
Bulgarian Journal of Physics,Fizyka,,
Bŭlgarski folklor,Kulturoznawstwo,,
Bulletin / Société Internationale d'Études pratiques d'économie sociale,Ekonomia,,
Bulletin APROA-BRK,Sztuka,,
"Bulletin de la Société des Sciences et des Lettres de Łódź, Série: Recherches sur les déformations",Matematyka,Fizyka,
Bulletin de la Société Mathématique de France,Matematyka,,
Bulletin de la Société Polonaise de Linguistique,Językoznawstwo,Filologia,
Bulletin de l'Association Française d'Observateurs d'étoiles variables,Astronomia,,
Bulletin des Sciences Mathématiques,Matematyka stosowana,,
Bulletin des Sociétés Chimiques Belges,Chemia,,
Bulletin d'Information du Centre de Données Stellaires/  Bulletin d'information du Centre de données astronomiques de Strasbourg,Astronomia,,
Bulletin of Electrochemistry,Elektrochemia,,
Bulletin of Entomological Research,Entomologia,,
Bulletin of Symbolic Logic,Logika,Matematyka,
Bulletin of the American Astronomical Society,Astronomia,,
Bulletin of the American Meteorological Society,Meteorologia,,
Bulletin of the Astronomical Institutes of the Netherlands,Astronomia,,
Bulletin of the Australian Mathematical Society,Matematyka,,
Bulletin of the Belgian Mathematical Society Simon Stevin,Matematyka,,
Bulletin of the British Arachnological Society/ Arachnology,Zoologia,,
Bulletin of the London Mathematical Society,Matematyka,,
Bulletin of the Malacological Society of London,Biologia,,
Bulletin of the Polish Academy of Sciences. Biology,Biologia,,
Bulletin of the Polish Academy of Sciences. Chemistry,Chemia,,
Bulletin of the Polish Academy of Sciences. Earth Sciences,Astronomia,,
Bulletin of the Polish Academy of Sciences. Mathematics,Matematyka,,
Bulletin of the Polish Academy of Sciences. Technical Sciences,Inżynieria,,
Bunt Młodych Duchem,Historia i archiwistyka,Edukacja,Stosunki międzynarodowe;Nauki polityczne
Business and Economic Horizons,Ekonomia,Finanse,
Business Code magazyn przedsiębiorczego studenta,Biznes,,
Bydgoski Rocznik Muzealny,Sztuka,,
CADCAM Forum: magazyn użytkowników systemów CAD/CAM.,Informatyka,,
Cadernos Literários,Literaturoznawstwo,,
Cahier d'Histoire Immédiate,Historia i archiwistyka,Kulturoznawstwo,
Cahiers de Recherches Médiévales et Humanistes,Historia i archiwistyka,Nauki humanistyczne,
Cahiers de Topologie et Géométrie Différentielle,Matematyka,,
Calculus of Variations and Partial Differential,Matematyka,Matematyka stosowana,
Camera Obscura,Teatr i film,,
Canadian CD-ROM News,Informatyka,,
Canadian Entomologist,Entomologia,,
Canadian Journal of Chemistry,Chemia,,
Canadian Journal of Mathematics,Matematyka,,
Canadian Journal of Physics,Fizyka,,
Canadian Journal of Zoology,Zoologia,,
Canadian Mathematical Bulletin,Matematyka,,
Canadian Slavonic Papers,Filologia,,
Cancer Cell,Onkologia,Komórka biologiczna,
Cancer Detection and Prevention,Onkologia,,
Cancer Research,Onkologia,,
Carbohydrate Polymers,Chemia,Chemia organiczna,Polimery
Carbohydrate Research,Biologia,Biochemia,Chemia stosowana;Chemia organiczna
Carbon,Chemia fizyczna,Materiałoznawstwo,
Carpe Diem: pismo ludzi twórczych,Sztuka,,
Časopis Soc?al'no-Ekonom?čno? Geograf??,,,
Castellologica Bohemica,Archeologia,Architektura,Historia i archiwistyka;
Catalysis Communications,Chemia fizyczna,,
Catalysis Letters,Chemia fizyczna,,
Catalysis Today,Chemia fizyczna,Chemia stosowana,Inżynieria chemiczna
Catena,Gleboznawstwo,Hydrologia,Nauki o Ziemi
Caucasus and Globalization,Gospodarka i planowanie,,
Cauriensia revista anual de Ciencias Eclesiásticas,Reliogioznawstwa i teologia,,
Čelâbinskij Gumanitarij,,,
Celestial Mechanics and Dynamical Astronomy,Astronomia,Astrofizyka,Matematyka
Cell,Komórka biologiczna,Biochemia,Biologia molekularna
Cell Biology International,Komórka biologiczna,,
Cell Biology International Reports,Biologia,,
Cell Differentiation,Biologia,,
Cellular Physiology and Biochemistry,Komórka biologiczna,Fizjologia,
"Cement, Wapno, Gips",Budownictwo,,
Central Bureau Electronic Telegrams,Astronomia,,
Central Europe Pharma News,,,
Central European Journal of Canadian Studies,Nauka,Edukacja,
Central European Journal of Chemistry,Chemia,,
Central European Journal of Economic Modelling and Econometrics,Ekonomia,Finanse,
Central European Journal of Mathematics,Matematyka,,
