Title1,Title2,DisciplinesString
ACTA CARSOLOGICA,Acta Carsologica,inżynieria lądowa i transport;nauki o Ziemi i środowisku
Acta Chemica Iasi,,nauki chemiczne;nauki chemiczne
ACTA CHIMICA SINICA,Acta Chimica Sinica,inżynieria biomedyczna;nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki chemiczne
Acta Chimica Slovaca,,nauki farmaceutyczne;nauki farmaceutyczne
ACTA CHIMICA SLOVENICA,Acta Chimica Slovenica,inżynieria biomedyczna;nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki chemiczne
ACTA CHIROPTEROLOGICA,Acta Chiropterologica,nauki leśne;nauki biologiczne
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,inżynieria biomedyczna;nauki medyczne
ACTA CHIRURGICA BELGICA,Acta Chirurgica Belgica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
ACTA CHROMATOGRAPHICA,Acta Chromatographica,inżynieria biomedyczna;inżynieria mechaniczna;nauki farmaceutyczne;rolnictwo i ogrodnictwo;technologia żywności i żywienia;weterynaria;nauki chemiczne
Acta Cirurgica Brasileira,Acta Cirurgica Brasileira,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
Acta Classica,Acta Classica,historia;literaturoznawstwo
ACTA CLINICA BELGICA,Acta Clinica Belgica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
Acta Clinica Croatica,Acta Clinica Croatica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
Acta Crystallographica A-Foundation and Advances,Acta Crystallographica Section A: Foundations and Advances,inżynieria biomedyczna;inżynieria materiałowa;nauki farmaceutyczne;nauki biologiczne;nauki chemiczne;nauki fizyczne
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials","automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki chemiczne;nauki fizyczne;nauki o Ziemi i środowisku"
Acta Crystallographica Section C-Structural Chemistry,"Acta crystallographica. Section C, Structural chemistry",inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki chemiczne;nauki fizyczne
Acta Crystallographica Section D-Structural Biology,Acta Crystallographica Section D: Structural Biology,inżynieria biomedyczna;inżynieria materiałowa;nauki farmaceutyczne;technologia żywności i żywienia;nauki biologiczne;nauki chemiczne
Acta Crystallographica Section E-Crystallographic Communications,Acta Crystallographica Section E: Crystallographic Communications,inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki chemiczne;nauki fizyczne;nauki o Ziemi i środowisku
Acta Crystallographica Section F-Structural Biology Communications,Acta Crystallographica Section F: Structural Biology Communications,inżynieria biomedyczna;inżynieria materiałowa;nauki farmaceutyczne;nauki medyczne;rolnictwo i ogrodnictwo;nauki biologiczne;nauki chemiczne
Acta Cybernetica,Acta Cybernetica,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka"
ACTA CYTOLOGICA,Acta Cytologica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne;nauki chemiczne
ACTA DERMATO-VENEREOLOGICA,Acta Dermato-Venereologica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Acta Dermatovenerologica Alpina Pannonica et Adriatica,"Acta Dermatovenerologica Alpina, Panonica et Adriatica",nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Acta Dermatovenerologica Croatica,Acta Dermatovenerologica Croatica,nauki medyczne;nauki o zdrowiu
ACTA DIABETOLOGICA,Acta Diabetologica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne;nauki chemiczne
Acta Endocrinologica-Bucharest,Acta Endocrinologica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;zootechnika i rybactwo;nauki biologiczne
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,Acta Entomologica Musei Nationalis Pragae,nauki leśne;rolnictwo i ogrodnictwo;nauki biologiczne
Acta et Commentationes Universitatis Tartuensis de Mathematica,Acta et Commentationes Universitatis Tartuensis de Mathematica,matematyka;matematyka
ACTA ETHOLOGICA,Acta Ethologica,"inżynieria środowiska, górnictwo i energetyka;weterynaria;zootechnika i rybactwo;nauki biologiczne"
Acta Facultatis Medicae Naissensis,Acta Facultatis Medicae Naissensis,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
Acta Facultatis Xylologiae Zvolen,Acta Facultatis Xylologiae,inżynieria materiałowa;inżynieria mechaniczna;nauki leśne
ACTA GASTRO-ENTEROLOGICA BELGICA,Acta Gastro-Enterologica Belgica,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
Acta Geochimica,Acta Geochimica,"inżynieria środowiska, górnictwo i energetyka;nauki o Ziemi i środowisku"
Acta Geodaetica et Geophysica,Acta Geodaetica et Geophysica,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki fizyczne;nauki o Ziemi i środowisku"
Acta Geodynamica et Geomaterialia,Acta Geodynamica et Geomaterialia,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki o Ziemi i środowisku"
Acta Geographica Slovenica-Geografski Zbornik,Acta Geographica Slovenica,"architektura i urbanistyka;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki o Ziemi i środowisku"
ACTA GEOLOGICA POLONICA,Acta Geologica Polonica,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki leśne;nauki biologiczne;nauki o Ziemi i środowisku"
ACTA GEOLOGICA SINICA-ENGLISH EDITION,,"inżynieria środowiska, górnictwo i energetyka;nauki o Ziemi i środowisku"
Acta Geophysica,Acta Geophysica,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;astronomia;nauki fizyczne;nauki o Ziemi i środowisku"
Acta Geotechnica,Acta Geotechnica,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka"
Acta Geotechnica Slovenica,Acta Geotechnica Slovenica,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka"
Acta Germanica-German studies in Africa,,językoznawstwo;literaturoznawstwo;nauki o kulturze i religii
Acta Gymnica,Acta Gymnica,nauki o kulturze fizycznej;nauki o zdrowiu
ACTA HAEMATOLOGICA,Acta Haematologica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne;nauki chemiczne
Acta Herpetologica,Acta Herpetologica,nauki leśne;zootechnika i rybactwo;nauki biologiczne
ACTA HISTOCHEMICA,Acta Histochemica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;weterynaria;zootechnika i rybactwo;nauki biologiczne;nauki chemiczne
ACTA HISTOCHEMICA ET CYTOCHEMICA,Acta Histochemica et Cytochemica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;technologia żywności i żywienia;weterynaria;zootechnika i rybactwo;nauki biologiczne;nauki chemiczne
Acta Historica Tallinnensia,Acta Historica Tallinnensia,historia;historia
Acta Histriae,,historia;literaturoznawstwo
ACTA ICHTHYOLOGICA ET PISCATORIA,Acta Ichthyologica et Piscatoria,weterynaria;zootechnika i rybactwo;nauki biologiczne
ACTA INFORMATICA,Acta Informatica,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka
Acta Kinesiologica,Acta Kinesiologica,inżynieria biomedyczna;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu
Acta Koreana,Acta Koreana,historia;nauki o kulturze i religii
Acta Linguistica Hungarica,,językoznawstwo;językoznawstwo
Acta Literaria,Acta Literaria,literaturoznawstwo;literaturoznawstwo
ACTA MATERIALIA,Acta Materialia,inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;technologia żywności i żywienia;nauki chemiczne
ACTA MATHEMATICA,Acta Mathematica,matematyka;matematyka
ACTA MATHEMATICA HUNGARICA,Acta Mathematica Hungarica,matematyka;matematyka
ACTA MATHEMATICA SCIENTIA,Acta Mathematica Scientia,astronomia;matematyka
ACTA MATHEMATICA SINICA-ENGLISH SERIES,"Acta Mathematica Sinica, English Series",inżynieria mechaniczna;matematyka
Acta Mathematica Universitatis Comenianae,Acta Mathematica Universitatis Comenianae,matematyka;matematyka
Acta Mathematica Vietnamica,Acta Mathematica Vietnamica,matematyka;matematyka
Acta Mathematicae Applicatae Sinica-English Series,Acta Mathematicae Applicatae Sinica,inżynieria mechaniczna;informatyka;matematyka
ACTA MECHANICA,Acta Mechanica,inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna
Acta Mechanica et Automatica,Acta Mechanica et Automatica,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna"
ACTA MECHANICA SINICA,Acta Mechanica Sinica/Lixue Xuebao,inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna
ACTA MECHANICA SOLIDA SINICA,Acta Mechanica Solida Sinica,inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;nauki fizyczne
Acta Medica Indonesiana,Acta medica Indonesiana,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
Acta Medica Mediterranea,Acta Medica Mediterranea,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
ACTA MEDICA OKAYAMA,Acta Medica Okayama,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Acta Medica Portuguesa,Acta Medica Portuguesa,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;weterynaria
Acta Medico-Historica Adriatica,AMHA - Acta Medico-Historica Adriatica,historia;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
ACTA METALLURGICA SINICA,Jinshu Xuebao/Acta Metallurgica Sinica,"inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
Acta Metallurgica Sinica-English Letters,Acta Metallurgica Sinica (English Letters),inżynieria materiałowa;inżynieria mechaniczna
Acta Metallurgica Slovaca,Acta Metallurgica Slovaca,inżynieria materiałowa;inżynieria mechaniczna
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,Acta Microbiologica et Immunologica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne
Acta Microscopica,Acta Microscopica,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki biologiczne;nauki chemiczne;nauki fizyczne"
ACTA MISSIOLOGICA,,prawo kanoniczne;nauki teologiczne
Acta Montanistica Slovaca,Acta Montanistica Slovaca,"inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki o Ziemi i środowisku"
ACTA MUSICOLOGICA,Acta Musicologica,nauki o kulturze i religii;nauki o sztuce
Acta Naturae,Acta Naturae,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki biologiczne;nauki chemiczne
Acta Neophilologica,Acta Neophilologica,językoznawstwo;literaturoznawstwo
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,Acta Neurobiologiae Experimentalis,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu;nauki leśne;nauki biologiczne;nauki chemiczne
ACTA NEUROCHIRURGICA,Acta Neurochirurgica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
ACTA NEUROLOGICA BELGICA,Acta Neurologica Belgica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
ACTA NEUROLOGICA SCANDINAVICA,Acta Neurologica Scandinavica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
ACTA NEUROPATHOLOGICA,Acta Neuropathologica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu;nauki biologiczne
Acta Neuropathologica Communications,Acta Neuropathologica Communications,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
ACTA NEUROPSYCHIATRICA,Acta Neuropsychiatrica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
Acta Neuropsychologica,Acta Neuropsychologica,nauki medyczne;nauki o zdrowiu;psychologia;nauki biologiczne
ACTA NUMERICA,Acta Numerica,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria lądowa i transport;informatyka;matematyka"
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,Acta Obstetricia et Gynecologica Scandinavica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
ACTA OCEANOLOGICA SINICA,Acta Oceanologica Sinica,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;zootechnika i rybactwo;nauki o Ziemi i środowisku"
ACTA ODONTOLOGICA SCANDINAVICA,Acta Odontologica Scandinavica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,Acta Oecologica,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;nauki leśne;rolnictwo i ogrodnictwo;zootechnika i rybactwo;nauki biologiczne;nauki o Ziemi i środowisku"
ACTA OECONOMICA,Acta Oeconomica,ekonomia i finanse;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości
Acta of Bioengineering and Biomechanics,Acta of Bioengineering and Biomechanics,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria chemiczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu;rolnictwo i ogrodnictwo;technologia żywności i żywienia;weterynaria;nauki biologiczne;nauki chemiczne;nauki fizyczne"
ACTA ONCOLOGICA,Acta Oncologica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne;nauki chemiczne
ACTA OPHTHALMOLOGICA,Acta Ophthalmologica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Acta Orientalia Academiae Scientiarum Hungaricae,Acta Orientalia,archeologia;historia;nauki o kulturze i religii;nauki socjologiczne
ACTA ORNITHOLOGICA,Acta Ornithologica,nauki leśne;weterynaria;zootechnika i rybactwo;nauki biologiczne
Acta Orthopaedica,Acta Orthopaedica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Acta Orthopaedica Belgica,Acta Orthopaedica Belgica,inżynieria biomedyczna;nauki medyczne;weterynaria
Acta Orthopaedica et Traumatologica Turcica,Acta Orthopaedica et Traumatologica Turcica,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;weterynaria
Acta Ortopedica Brasileira,Acta Ortopedica Brasileira,inżynieria biomedyczna;nauki medyczne
ACTA OTO-LARYNGOLOGICA,Acta Oto-Laryngologica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Acta Oto-Laryngologica Case Reports,,nauki medyczne;nauki o zdrowiu
Acta Otorhinolaryngologica Italica,Acta Otorhinolaryngologica Italica,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
Acta Otorrinolaringologica Espanola,Acta Otorrinolaringologica Espanola,nauki medyczne;nauki o zdrowiu
ACTA PAEDIATRICA,"Acta Paediatrica, International Journal of Paediatrics",inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
ACTA PALAEONTOLOGICA POLONICA,Acta Palaeontologica Polonica,nauki biologiczne;nauki o Ziemi i środowisku
ACTA PARASITOLOGICA,Acta Parasitologica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki leśne;weterynaria;zootechnika i rybactwo;nauki biologiczne
Acta Paulista de Enfermagem,Acta Paulista de Enfermagem,inżynieria biomedyczna;inżynieria biomedyczna
Acta Pediatrica de Mexico,Acta Pediatrica de Mexico,nauki medyczne;nauki medyczne
